epoch,step,train_loss,test_loss
7,1250,0.1805,
7,1500,0.2464,
7,1750,0.1937,
7,2000,0.2107,
7,2250,0.2075,
7,2500,0.187,
7,2750,0.142,
7,3000,0.1579,
7,3250,0.2805,
7,3500,0.3413,
7,3750,0.2554,
7,4000,0.1219,
7,4250,0.2535,
7,4500,0.1996,
7,4750,0.2941,
7,5000,0.2891,
7,5250,0.0893,
7,5500,0.1772,
7,5750,0.0997,
7,6000,0.1573,
7,6250,0.3308,
7,6500,0.2095,
7,6750,0.2384,
7,7000,0.3019,
7,7250,0.1734,
7,7500,0.2476,
7,7750,0.3349,
7,8000,0.1667,
7,8250,0.2384,
7,8500,0.2214,
7,8750,0.2094,
7,9000,0.2897,
7,9250,0.2062,
7,9500,0.17,
7,9750,0.1492,
7,10000,0.1263,
7,10250,0.178,
7,10500,0.1971,
7,10750,0.3048,
7,11000,0.2479,
7,11250,0.2188,
7,11500,0.2442,
7,11750,0.1636,
7,12000,0.2153,
7,12250,0.3321,
7,12500,0.2013,
7,12750,0.0985,
7,13000,0.3521,
7,13250,0.1946,
7,13500,0.1881,
7,13750,0.1476,
7,14000,0.1586,
7,14250,0.1562,
7,14500,0.1404,
7,14750,0.4106,
7,15000,0.1793,
7,15250,0.158,
7,15500,0.1739,
7,15750,0.1751,
7,16000,0.3021,
7,16250,0.1413,
7,16500,0.1998,
7,16750,0.2862,
7,17000,0.246,
7,17250,0.2231,
7,17500,0.2451,
7,17750,0.1332,
7,18000,0.2291,
7,18250,0.2078,
7,18500,0.2147,
7,18750,0.2078,
7,19000,0.1734,
7,19250,0.2541,
7,19500,0.3029,
7,19750,0.1992,
7,20000,0.2119,
7,20250,0.2865,
7,20500,0.2679,
7,20750,0.2073,
7,21000,0.2,
7,21250,0.1468,
7,21500,0.2142,
7,21750,0.1813,
7,22000,0.1984,
7,22250,0.182,
7,22500,0.1684,
7,22750,0.1879,
7,23000,0.1852,
7,23250,0.5369,
7,23500,0.3236,
7,23750,0.3862,
7,24000,0.1088,
7,24250,0.2088,
7,24500,0.2951,
7,24750,0.3085,
7,25000,0.1718,
8,250,0.16,
8,500,0.1923,
8,750,0.324,
8,1000,0.1585,
8,1250,0.2673,
8,1500,0.1495,
8,1750,0.1836,
8,2000,0.1381,
8,2250,0.2035,
8,2500,0.1232,
8,2750,0.1649,
8,3000,0.1839,
8,3250,0.2841,
8,3500,0.2402,
8,3750,0.1129,
8,4000,0.1426,
8,4250,0.19,
8,4500,0.1267,
8,4750,0.0776,
8,5000,0.275,
8,5250,0.1911,
8,5500,0.2394,
8,5750,0.2336,
8,6000,0.1834,
8,6250,0.2928,
8,6500,0.1638,
8,6750,0.1237,
8,7000,0.2757,
8,7250,0.1783,
8,7500,0.1687,
8,7750,0.238,
8,8000,0.2682,
